transaction_id,customer_id,product_id,quantity,unit_price,transaction_date,status
T001,C001,P001,1,45999,1/15/24,Completed
T002,C002,P004,2,2999,1/16/24,Completed
T003,C003,P007,1,52999,15/01/2024,Completed
T004,,P002,1,3499,1/18/24,Pending
T005,C005,P009,3,650,1/20/24,Completed
T006,C006,P012,1,12999,1/22/24,Completed
T007,C007,P005,2,1999,1/23/24,Completed
T008,C008,,1,1299,1/25/24,Completed
T009,C009,P011,1,4599,1/28/24,Cancelled
T010,C010,P006,5,899,2/1/24,Completed
T001,C001,P001,1,45999,1/15/24,Completed
T011,C011,P014,1,69999,2/2/24,Completed
T012,C012,P003,1,52999,2/5/24,Completed
T013,C013,P015,3,450,2/8/24,Completed
T014,C014,P019,2,1499,2/10/24,Completed
T015,C015,P008,3,1299,2/12/24,Completed
T016,,P013,1,5499,2/15/24,Pending
T017,C017,P016,1,32999,2/18/24,Completed
T018,C018,P020,2,1899,2/20/24,Completed
T019,C019,P018,10,120,2/22/24,Completed
T020,C020,P010,1,45999,2/25/24,Completed
T021,C021,P017,2,2999,2/28/24,Completed
T022,C002,P001,1,45999,3/1/24,Completed
T023,C003,P019,3,1499,3/2/24,Completed
T024,C004,P009,5,650,3/5/24,Completed
T025,C005,,1,1999,3/8/24,Completed
T026,C006,P011,1,4599,3/10/24,Completed
T027,C007,P002,2,3499,3/12/24,Completed
T028,C008,P015,4,450,3/15/24,Completed
T029,C009,P007,1,52999,3/18/24,Completed
T030,,P004,3,2999,3/20/24,Pending
T031,C011,P012,1,12999,3/22/24,Completed
T032,C012,P016,1,32999,3/25/24,Completed
T033,C013,P005,2,1999,3/28/24,Completed
T034,C014,P008,2,1299,3/30/24,Completed
T035,C015,P018,8,120,4/1/24,Completed
T036,C016,P014,1,69999,4/3/24,Completed
T037,C017,P006,4,899,4/5/24,Completed
T038,C018,P020,1,1899,4/8/24,Completed
T039,C019,P019,2,1499,4/10/24,Completed
T040,C020,P013,1,5499,4/12/24,Completed